organism,organ,assay,cell_type_counts
Homo sapiens,abdominal aorta,10x 3' v3,"{""blood vessel smooth muscle cell"": 764, ""endothelial cell of artery"": 289, ""fibroblast"": 413, ""lymphocyte"": 83, ""macrophage"": 972, ""microcirculation associated smooth muscle cell"": 330, ""unknown"": 3}"
Homo sapiens,abdominal aorta,Smart-seq2,"{""CD4-positive, alpha-beta T cell"": 114, ""CD8-positive, alpha-beta T cell"": 72, ""capillary endothelial cell"": 12, ""endothelial cell"": 105, ""endothelial cell of artery"": 9, ""fibroblast"": 195, ""macrophage"": 96, ""mast cell"": 21, ""natural killer cell"": 15, ""neutrophil"": 6, ""pericyte"": 117, ""smooth muscle cell"": 60, ""vein endothelial cell"": 6}"
Homo sapiens,abdominal wall,10x 3' v3,"{""B cell"": 17, ""T cell"": 5736, ""dendritic cell"": 136, ""endothelial cell"": 7, ""fallopian tube secretory epithelial cell"": 3734, ""fibroblast"": 22, ""monocyte"": 154, ""plasma cell"": 93}"
Homo sapiens,adipose tissue,10x 3' v3,"{""B cell"": 15531, ""CD4-positive, alpha-beta T cell"": 13563, ""CD8-positive, alpha-beta T cell"": 6717, ""T cell"": 192, ""endothelial cell"": 7899, ""erythrocyte"": 39, ""fibroblast"": 25809, ""hematopoietic precursor cell"": 3, ""intermediate monocyte"": 72, ""macrophage"": 11145, ""mast cell"": 48, ""mature NK T cell"": 294, ""mesenchymal stem cell of adipose tissue"": 2430, ""monocyte"": 1524, ""myofibroblast cell"": 999, ""natural killer cell"": 492, ""neutrophil"": 2517, ""pericyte"": 180, ""plasma cell"": 330, ""smooth muscle cell"": 675}"
Homo sapiens,adipose tissue,Smart-seq2,"{""B cell"": 21, ""CD4-positive, alpha-beta T cell"": 9, ""CD8-positive, alpha-beta T cell"": 30, ""T cell"": 6, ""activated CD4-positive, alpha-beta T cell"": 3, ""endothelial cell"": 93, ""fibroblast"": 51, ""leukocyte"": 327, ""macrophage"": 510, ""mesenchymal stem cell"": 51, ""mesenchymal stem cell of adipose tissue"": 51, ""myeloid dendritic cell"": 3, ""myofibroblast cell"": 18, ""natural killer cell"": 12, ""neutrophil"": 57, ""plasma cell"": 12, ""smooth muscle cell"": 21}"
Homo sapiens,adipose tissue,microwell-seq,"{""T cell"": 2, ""dendritic cell"": 5, ""endothelial cell"": 2, ""epithelial cell"": 2, ""erythroid lineage cell"": 1, ""fibroblast"": 53, ""macrophage"": 1099, ""mast cell"": 1, ""monocyte"": 18, ""neutrophil"": 3, ""plasma cell"": 1, ""smooth muscle cell"": 1, ""stromal cell"": 184}"
Homo sapiens,adnexa of uterus,10x 3' v3,"{""B cell"": 859, ""T cell"": 61814, ""dendritic cell"": 661, ""endothelial cell"": 2567, ""fallopian tube secretory epithelial cell"": 91710, ""fibroblast"": 24848, ""mast cell"": 504, ""monocyte"": 90208, ""plasma cell"": 2806}"
Homo sapiens,adrenal gland,10x 3' v2,"{""B cell"": 95, ""CD4-positive helper T cell"": 627, ""CD8-positive, alpha-beta memory T cell"": 182, ""T cell"": 4461, ""basal cell"": 80, ""ciliated epithelial cell"": 2, ""classical monocyte"": 214, ""conventional dendritic cell"": 45, ""dendritic cell"": 313, ""effector CD8-positive, alpha-beta T cell"": 1228, ""endothelial cell"": 46, ""epithelial cell"": 76, ""exhausted T cell"": 36, ""fibroblast"": 28, ""gamma-delta T cell"": 6, ""goblet cell"": 2, ""hepatocyte"": 8, ""macrophage"": 147, ""myeloid cell"": 422, ""natural killer cell"": 33, ""neuroendocrine cell"": 2, ""neutrophil"": 163, ""plasma cell"": 76, ""plasmacytoid dendritic cell"": 9, ""regulatory T cell"": 116}"
Homo sapiens,adrenal gland,10x 3' v3,"{""B cell"": 348, ""CD4-positive helper T cell"": 202, ""CD4-positive, alpha-beta T cell"": 202, ""CD8-positive, alpha-beta memory T cell"": 287, ""Schwann cell"": 2794, ""T cell"": 2459, ""basal cell"": 10, ""ciliated epithelial cell"": 14, ""classical monocyte"": 502, ""conventional dendritic cell"": 4, ""cortical cell of adrenal gland"": 17245, ""dendritic cell"": 324, ""effector CD8-positive, alpha-beta T cell"": 40, ""endothelial cell"": 4539, ""epithelial cell"": 8815, ""exhausted T cell"": 14, ""fibroblast"": 12611, ""goblet cell"": 8, ""hepatocyte"": 8332, ""ionocyte"": 28, ""kidney cell"": 863, ""macrophage"": 13740, ""mast cell"": 4, ""monocyte"": 251, ""myeloid cell"": 300, ""natural killer cell"": 28, ""neuroblast (sensu Vertebrata)"": 96148, ""neuroendocrine cell"": 2, ""neutrophil"": 107, ""plasma cell"": 3, ""plasmacytoid dendritic cell"": 51, ""pulmonary alveolar epithelial cell"": 62, ""regulatory T cell"": 45, ""tuft cell"": 2}"
Homo sapiens,adrenal gland,microwell-seq,"{""B cell"": 42, ""Sertoli cell"": 2, ""T cell"": 288, ""acinar cell"": 2, ""alternatively activated macrophage"": 18, ""cell of skeletal muscle"": 16, ""cord blood hematopoietic stem cell"": 49, ""dendritic cell"": 484, ""embryonic stem cell"": 1, ""endocrine cell"": 37, ""endothelial cell"": 4009, ""enterocyte"": 1580, ""epithelial cell"": 23896, ""epithelial cell of proximal tubule"": 19, ""erythroid lineage cell"": 248, ""erythroid progenitor cell"": 224, ""fibroblast"": 933, ""goblet cell"": 22, ""inflammatory cell"": 91, ""kidney loop of Henle epithelial cell"": 1, ""macrophage"": 6037, ""mast cell"": 9, ""mesenchymal stem cell"": 690, ""monocyte"": 563, ""myeloid cell"": 1068, ""neuron"": 1355, ""neutrophil"": 198, ""plasma cell"": 342, ""primordial germ cell"": 113, ""professional antigen presenting cell"": 98, ""renal intercalated cell"": 1, ""smooth muscle cell"": 660, ""stromal cell"": 380}"
