organism,assay_title,classification,lab,biosample,target,count
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",renal pelvis,none,10
Homo sapiens,WGBS,in vitro differentiated cells,"Michael Snyder, Stanford",motor neuron,none,10
Homo sapiens,ATAC-seq,in vitro differentiated cells,"Michael Snyder, Stanford",motor neuron,none,10
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",heart right ventricle,none,10
Homo sapiens,total RNA-seq,in vitro differentiated cells,"Michael Snyder, Stanford",motor neuron,none,9
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD4-positive, CD25-positive, alpha-beta regulatory T cell",H3K27ac,9
Homo sapiens,in situ Hi-C,in vitro differentiated cells,"Michael Snyder, Stanford",motor neuron,none,9
Homo sapiens,Control Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD4-positive, CD25-positive, alpha-beta regulatory T cell",none,9
Homo sapiens,Control ChIP-seq,cell line,"Richard Myers, HAIB",WTC11,none,9
Homo sapiens,snATAC-seq,tissue,"Michael Snyder, Stanford",heart,none,9
Mus musculus,WGBS,tissue,"Joe Ecker, Salk",heart,none,9
Mus musculus,in situ Hi-C,primary cell,"Erez Aiden, Baylor",mature B cell,none,9
Mus musculus,scRNA-seq,tissue,"Barbara Wold, Caltech",forelimb,none,9
Homo sapiens,snRNA-seq,tissue,"Michael Snyder, Stanford",heart,none,9
Homo sapiens,Control ChIP-seq,primary cell,"Bradley Bernstein, Broad","common myeloid progenitor, CD34-positive",none,9
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,pha-4,9
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",liver,H3K4me1,9
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",heart,H3K27me3,9
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",liver,H3K4me3,9
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",heart,H3K36me3,9
Homo sapiens,small RNA-seq,cell line,"Thomas Gingeras, CSHL",IMR-90,none,9
Homo sapiens,small RNA-seq,cell line,"Thomas Gingeras, CSHL",A549,none,9
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",liver,H3K27ac,9
Homo sapiens,CAGE,cell line,"Piero Carninci, RIKEN",K562,none,9
Mus musculus,Control ChIP-seq,tissue,"Bing Ren, UCSD",liver,none,9
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,unc-62,9
Drosophila melanogaster,total RNA-seq,tissue,"Brenton Graveley, UConn",head,none,9
Homo sapiens,RNA microarray,cell line,"Thomas Gingeras, CSHL",K562,none,9
Mus musculus,microRNA-seq,tissue,"Ali Mortazavi, UCI",forebrain,none,9
Homo sapiens,long read RNA-seq,tissue,"John Stamatoyannopoulos, UW",kidney,none,9
Homo sapiens,Control ChIP-seq,cell line,"Kevin White, UChicago",MCF-7,none,9
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",right lobe of liver,none,9
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW",natural killer cell,none,9
Homo sapiens,total RNA-seq,primary cell,"John Stamatoyannopoulos, UW","effector memory CD8-positive, alpha-beta T cell",none,9
Homo sapiens,long read RNA-seq,tissue,"John Stamatoyannopoulos, UW",muscle of back,none,9
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",left kidney,none,9
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",upper lobe of left lung,none,9
Mus musculus,snATAC-seq,tissue,"Michael Snyder, Stanford",left cerebral cortex,none,8
Homo sapiens,long read RNA-seq,cell line,"Ali Mortazavi, UCI",HL-60,none,8
Mus musculus,snATAC-seq,tissue,"Michael Snyder, Stanford",heart,none,8
Mus musculus,snATAC-seq,tissue,"Michael Snyder, Stanford",layer of hippocampus,none,8
Mus musculus,snRNA-seq,tissue,"Michael Snyder, Stanford",heart,none,8
Mus musculus,snRNA-seq,tissue,"Michael Snyder, Stanford",layer of hippocampus,none,8
Mus musculus,snRNA-seq,tissue,"Michael Snyder, Stanford",left cerebral cortex,none,8
Mus musculus,snRNA-seq,tissue,"Michael Snyder, Stanford",adrenal gland,none,8
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD4-positive, CD25-positive, alpha-beta regulatory T cell",H3K9me3,8
Mus musculus,snATAC-seq,tissue,"Michael Snyder, Stanford",gastrocnemius,none,8
Mus musculus,snRNA-seq,tissue,"Michael Snyder, Stanford",gastrocnemius,none,8
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW","CD8-positive, alpha-beta memory T cell",none,8
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",spleen,H3K27ac,8
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD4-positive, alpha-beta memory T cell",H3K4me1,8
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",naive B cell,H3K27me3,8
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",spleen,H3K4me1,8
Mus musculus,snATAC-seq,tissue,"Michael Snyder, Stanford",adrenal gland,none,8
Homo sapiens,Control ChIP-seq,tissue,"Bradley Bernstein, Broad",spleen,none,8
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",heart right ventricle,H3K27me3,8
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD4-positive, CD25-positive, alpha-beta regulatory T cell",H3K4me1,8
Homo sapiens,snRNA-seq,tissue,"Michael Snyder, Stanford",liver,none,8
Homo sapiens,TF ChIP-seq,tissue,"Bradley Bernstein, Broad",spleen,CTCF,8
Homo sapiens,snATAC-seq,tissue,"Michael Snyder, Stanford",liver,none,8
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",spleen,H3K27me3,8
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",spleen,H3K4me3,8
Mus musculus,WGBS,tissue,"Joe Ecker, Salk",liver,none,8
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",naive B cell,H3K27ac,8
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",spleen,H3K9me3,8
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD8-positive, alpha-beta memory T cell",H3K27ac,8
Homo sapiens,long read RNA-seq,tissue,"John Stamatoyannopoulos, UW",left kidney,none,8
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD4-positive, alpha-beta memory T cell",H3K4me3,8
unknown,long read RNA-seq,technical sample,"Roderic Guigo, CRG",technical sample,none,8
Homo sapiens,intact Hi-C,cell line,"Erez Aiden, Baylor",K562,none,8
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD4-positive, alpha-beta memory T cell",H3K27me3,8
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD4-positive, alpha-beta memory T cell",H3K27ac,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",heart,H3K9me3,8
Homo sapiens,RRBS,primary cell,"Bradley Bernstein, Broad","common myeloid progenitor, CD34-positive",none,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",forebrain,H3K27me3,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",heart,H3K9ac,8
Mus musculus,Control ChIP-seq,tissue,"Bing Ren, UCSD",forebrain,none,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",hindbrain,H3K27ac,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",liver,H3K9ac,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",forebrain,H3K4me1,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",midbrain,H3K9me3,8
Drosophila melanogaster,small RNA-seq,cell line,"Thomas Gingeras, CSHL",Kc167,none,8
Mus musculus,Control ChIP-seq,tissue,"Bing Ren, UCSD",midbrain,none,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",hindbrain,H3K4me1,8
Mus musculus,WGBS,tissue,"Joe Ecker, Salk",forebrain,none,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",forebrain,H3K36me3,8
Mus musculus,WGBS,tissue,"Joe Ecker, Salk",midbrain,none,8
Drosophila melanogaster,polyA plus RNA-seq,tissue,"Susan Celniker, LBNL",digestive system,none,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",midbrain,H3K4me1,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",midbrain,H3K27me3,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",hindbrain,H3K36me3,8
Homo sapiens,Control ChIP-seq,tissue,"Michael Snyder, Stanford",spleen,none,8
Homo sapiens,Control ChIP-seq,cell line,"Richard Myers, HAIB",A549,none,8
Homo sapiens,small RNA-seq,cell line,"Thomas Gingeras, CSHL",K562,none,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",liver,H3K27me3,8
Mus musculus,polyA plus RNA-seq,tissue,"Barbara Wold, Caltech",forebrain,none,8
Mus musculus,microRNA counts,tissue,"Ali Mortazavi, UCI",hindbrain,none,8
Mus musculus,microRNA counts,tissue,"Ali Mortazavi, UCI",heart,none,8
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,snpc-4,8
Mus musculus,microRNA-seq,tissue,"Ali Mortazavi, UCI",midbrain,none,8
Mus musculus,microRNA counts,tissue,"Ali Mortazavi, UCI",midbrain,none,8
Mus musculus,polyA plus RNA-seq,tissue,"Barbara Wold, Caltech",midbrain,none,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",forebrain,H3K9me3,8
Mus musculus,Control ChIP-seq,tissue,"Bing Ren, UCSD",hindbrain,none,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",liver,H3K36me3,8
Drosophila melanogaster,small RNA-seq,cell line,"Thomas Gingeras, CSHL",ML-DmBG3-c2,none,8
Drosophila melanogaster,small RNA-seq,cell line,"Thomas Gingeras, CSHL",CME-W1-Cl.8+,none,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",hindbrain,H3K9me3,8
Mus musculus,polyA plus RNA-seq,tissue,"Barbara Wold, Caltech",hindbrain,none,8
Drosophila melanogaster,small RNA-seq,cell line,"Thomas Gingeras, CSHL",S2,none,8
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD4-positive, CD25-positive, alpha-beta regulatory T cell",H3K36me3,8
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",naive B cell,H3K4me1,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",midbrain,H3K4me3,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",forebrain,H3K27ac,8
Homo sapiens,Control Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",naive B cell,none,8
Mus musculus,polyA plus RNA-seq,tissue,"Barbara Wold, Caltech",heart,none,8
Homo sapiens,polyA plus RNA-seq,cell line,"Barbara Wold, Caltech",GM12878,none,8
Homo sapiens,Control ChIP-seq,cell line,"Richard Myers, HAIB",MCF-7,none,8
Homo sapiens,Control ChIP-seq,tissue,"Michael Snyder, Stanford",sigmoid colon,none,8
Homo sapiens,PRO-cap,primary cell,"Haiyuan Yu, Cornell",peripheral blood mononuclear cell,none,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",forebrain,H3K4me3,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",hindbrain,H3K4me3,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",midbrain,H3K36me3,8
Homo sapiens,long read RNA-seq,tissue,"John Stamatoyannopoulos, UW",right kidney,none,8
Homo sapiens,long read RNA-seq,tissue,"John Stamatoyannopoulos, UW",right lung,none,8
Homo sapiens,Control ChIP-seq,cell line,"Bing Ren, UCSD",H1,none,8
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",body of pancreas,none,8
Mus musculus,microRNA counts,tissue,"Ali Mortazavi, UCI",forebrain,none,8
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",thyroid gland,none,8
Drosophila melanogaster,polyA plus RNA-seq,whole organisms,"Susan Celniker, LBNL",carcass,none,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",hindbrain,H3K27me3,8
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",naive B cell,H3K4me3,8
Mus musculus,WGBS,tissue,"Joe Ecker, Salk",hindbrain,none,8
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",midbrain,H3K27ac,8
Homo sapiens,Control Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",CD14-positive monocyte,none,8
Homo sapiens,Control Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD8-positive, alpha-beta memory T cell",none,8
Homo sapiens,Control Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD4-positive, alpha-beta memory T cell",none,8
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",CD14-positive monocyte,H3K27ac,8
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD4-positive, alpha-beta memory T cell",H3K9me3,8
Homo sapiens,Control ChIP-seq,tissue,"Richard Myers, HAIB",liver,none,8
Homo sapiens,microRNA-seq,primary cell,"Joseph Costello, UCSF",neurosphere,none,8
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD4-positive, alpha-beta memory T cell",H3K36me3,8
Homo sapiens,polyA plus RNA-seq,tissue,"John Stamatoyannopoulos, UW",muscle of leg,none,8
Homo sapiens,polyA plus RNA-seq,primary cell,"Joseph Costello, UCSF",neurosphere,none,8
Homo sapiens,Histone ChIP-seq,primary cell,"Bradley Bernstein, Broad","common myeloid progenitor, CD34-positive",H3K4me3,8
Homo sapiens,Control ChIP-seq,tissue,"Michael Snyder, Stanford",suprapubic skin,none,8
Mus musculus,snATAC-seq,tissue,"Bing Ren, UCSD",forebrain,none,8
Homo sapiens,Control ChIP-seq,tissue,"Richard Myers, HAIB",sigmoid colon,none,8
Homo sapiens,ATAC-seq,tissue,"Michael Snyder, Stanford",adrenal gland,none,8
Homo sapiens,in situ Hi-C,cell line,"Erez Aiden, Baylor",HCT116,none,8
Homo sapiens,total RNA-seq,cell line,"Will Greenleaf, Stanford",WTC11,none,7
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD8-positive, alpha-beta memory T cell",H3K4me1,7
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",skin epidermis,H3K4me3,7
Homo sapiens,snATAC-seq,tissue,"Michael Snyder, Stanford",ovary,none,7
Homo sapiens,total RNA-seq,tissue,"Barbara Wold, Caltech",heart left ventricle,none,7
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD8-positive, alpha-beta memory T cell",H3K4me3,7
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD8-positive, alpha-beta memory T cell",H3K27me3,7
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",naive B cell,H3K36me3,7
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",spleen,H3K36me3,7
Mus musculus,total RNA-seq,primary cell,"Tim Reddy, Duke",T-cell,none,7
Mus musculus,total RNA-seq,primary cell,"Tim Reddy, Duke",T-helper 2 cell,none,7
Homo sapiens,long read RNA-seq,tissue,"John Stamatoyannopoulos, UW",adrenal gland,none,7
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW","stimulated activated naive CD4-positive, alpha-beta T cell",none,7
Homo sapiens,total RNA-seq,primary cell,"John Stamatoyannopoulos, UW",T-helper 1 cell,none,7
Homo sapiens,Histone ChIP-seq,primary cell,"Bradley Bernstein, Broad","common myeloid progenitor, CD34-positive",H3K27me3,7
Mus musculus,Control ChIP-seq,cell line,"Ross Hardison, PennState",G1E-ER4,none,7
Mus musculus,Control ChIP-seq,tissue,"Bing Ren, UCSD",limb,none,7
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",forebrain,H3K9ac,7
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",heart,H3K4me2,7
Mus musculus,microRNA-seq,tissue,"Ali Mortazavi, UCI",hindbrain,none,7
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",midbrain,H3K4me2,7
Homo sapiens,Control ChIP-seq,tissue,"Richard Myers, HAIB",stomach,none,7
Homo sapiens,Control Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",immature natural killer cell,none,7
Mus musculus,TF ChIP-seq,cell line,"Ross Hardison, PennState",G1E-ER4,GATA1,7
Homo sapiens,Control ChIP-seq,cell line,"Bing Ren, UCSD",IMR-90,none,7
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,lsy-2,7
Homo sapiens,polyA plus RNA-seq,tissue,"John Stamatoyannopoulos, UW",large intestine,none,7
Homo sapiens,RNA microarray,tissue,"John Stamatoyannopoulos, UW",small intestine,none,7
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",liver,H3K9me3,7
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,mdl-1,7
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",transverse colon,none,7
Drosophila melanogaster,Repli-seq,cell line,"David MacAlpine, Duke",Kc167,bromodeoxyuridine,7
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",limb,H3K27ac,7
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",forebrain,H3K4me2,7
Mus musculus,polyA plus RNA-seq,tissue,"Barbara Wold, Caltech",liver,none,7
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",midbrain,H3K9ac,7
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",liver,H3K4me2,7
Homo sapiens,Control ChIP-seq,tissue,"Michael Snyder, Stanford",esophagus squamous epithelium,none,7
Homo sapiens,Control ChIP-seq,tissue,"Michael Snyder, Stanford",gastrocnemius medialis,none,7
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",Peyer's patch,none,7
Mus musculus,polyA plus RNA-seq,cell line,"Ross Hardison, PennState",G1E-ER4,none,7
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",hindbrain,H3K4me2,7
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",limb,H3K4me3,7
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",hindbrain,H3K9ac,7
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",limb,H3K4me1,7
Mus musculus,microRNA-seq,tissue,"Ali Mortazavi, UCI",liver,none,7
Mus musculus,total RNA-seq,primary cell,"Tim Reddy, Duke",regulatory T cell,none,7
Homo sapiens,long read RNA-seq,tissue,"John Stamatoyannopoulos, UW",brain,none,7
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",gastrocnemius medialis,none,7
Homo sapiens,small RNA-seq,cell line,"Thomas Gingeras, CSHL",MCF-7,none,7
Homo sapiens,MRE-seq,in vitro differentiated cells,"Richard Myers, HAIB",endodermal cell,none,7
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",ovary,none,7
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",CD14-positive monocyte,H3K4me3,7
Homo sapiens,total RNA-seq,primary cell,"John Stamatoyannopoulos, UW","naive thymus-derived CD8-positive, alpha-beta T cell",none,7
Mus musculus,intact Hi-C,tissue,"Erez Aiden, Baylor",gastrocnemius,none,7
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW","activated effector memory CD4-positive, alpha-beta T cell",none,7
Mus musculus,total RNA-seq,primary cell,"Tim Reddy, Duke",T-helper 17 cell,none,7
Homo sapiens,in situ Hi-C,cell line,"Erez Aiden, Baylor",HL-60/S4,none,7
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",naive B cell,H3K9me3,7
Mus musculus,intact Hi-C,tissue,"Erez Aiden, Baylor",heart,none,7
Homo sapiens,PRO-cap,primary cell,"Haiyuan Yu, Cornell",T-cell,none,7
Mus musculus,intact Hi-C,tissue,"Erez Aiden, Baylor",left cerebral cortex,none,7
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",CD14-positive monocyte,H3K9me3,7
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",CD14-positive monocyte,H3K36me3,7
Homo sapiens,snATAC-seq,cell line,"Michael Snyder, Stanford",HCT116,none,7
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW",B cell,none,7
Homo sapiens,polyA plus RNA-seq,tissue,"John Stamatoyannopoulos, UW",stomach,none,7
Homo sapiens,DNase-seq,cell line,"John Stamatoyannopoulos, UW",H9,none,7
Mus musculus,microRNA counts,tissue,"Ali Mortazavi, UCI",liver,none,7
Homo sapiens,Control ChIP-seq,tissue,"Richard Myers, HAIB",breast epithelium,none,7
Mus musculus,ATAC-seq,tissue,"Bing Ren, UCSD",forebrain,none,7
Mus musculus,ATAC-seq,tissue,"Bing Ren, UCSD",liver,none,7
Mus musculus,ATAC-seq,tissue,"Bing Ren, UCSD",midbrain,none,7
Homo sapiens,Control ChIP-seq,tissue,"Richard Myers, HAIB",upper lobe of left lung,none,7
Mus musculus,ATAC-seq,tissue,"Bing Ren, UCSD",heart,none,7
Homo sapiens,Control ChIP-seq,tissue,"Richard Myers, HAIB",esophagus muscularis mucosa,none,7
Homo sapiens,Control ChIP-seq,tissue,"Richard Myers, HAIB",suprapubic skin,none,7
Homo sapiens,ATAC-seq,tissue,"Michael Snyder, Stanford",ovary,none,7
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",immature natural killer cell,H3K27ac,7
Mus musculus,ATAC-seq,tissue,"Bing Ren, UCSD",hindbrain,none,7
Homo sapiens,total RNA-seq,primary cell,"Barbara Wold, Caltech","activated naive CD4-positive, alpha-beta T cell",none,6
Homo sapiens,microRNA-seq,cell line,"Ali Mortazavi, UCI",HL-60,none,6
Homo sapiens,PRO-cap,cell line,"John Lis, Cornell",K562,none,6
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",CD14-positive monocyte,H3K4me1,6
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",CD14-positive monocyte,H3K27me3,6
