organism,assay_title,classification,lab,biosample,target,count
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW",T-helper 2 cell,none,14
Mus musculus,polyA plus RNA-seq,primary cell,"Alexander Hoffmann, UCLA",macrophage,none,14
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",C1 segment of cervical spinal cord,none,14
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",heart left ventricle,none,14
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",lung,none,14
Homo sapiens,ATAC-seq,tissue,"Michael Snyder, Stanford",heart right ventricle,none,14
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","naive thymus-derived CD4-positive, alpha-beta T cell",H3K4me1,13
Homo sapiens,long read RNA-seq,tissue,"Ali Mortazavi, UCI",dorsolateral prefrontal cortex,none,13
Homo sapiens,Control Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","naive thymus-derived CD4-positive, alpha-beta T cell",none,13
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",heart left ventricle,H3K9me3,13
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",heart left ventricle,H3K4me1,13
Homo sapiens,Control ChIP-seq,tissue,"Bradley Bernstein, Broad",heart left ventricle,none,13
Homo sapiens,Control ChIP-seq,cell line,"Michael Snyder, Stanford",GM12878,none,13
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","naive thymus-derived CD4-positive, alpha-beta T cell",H3K4me3,13
Homo sapiens,Control ChIP-seq,cell line,"Richard Myers, HAIB",GM12878,none,13
Homo sapiens,scRNA-seq,cell line,"Barbara Wold, Caltech",GM12878,none,13
Homo sapiens,PAS-seq,primary cell,"Paul Khavari, Stanford",foreskin keratinocyte,none,13
Homo sapiens,RAMPAGE,primary cell,"Michael Snyder, Stanford",foreskin keratinocyte,none,13
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",ovary,none,13
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW","activated naive CD4-positive, alpha-beta T cell",none,13
Homo sapiens,ATAC-seq,primary cell,"Will Greenleaf, Stanford",foreskin keratinocyte,none,13
Homo sapiens,Histone ChIP-seq,cell line,"Roderic Guigo, CRG",BLaER1,H3K9ac,12
Homo sapiens,Histone ChIP-seq,cell line,"Roderic Guigo, CRG",BLaER1,H3K4me3,12
Homo sapiens,Histone ChIP-seq,cell line,"Roderic Guigo, CRG",BLaER1,H3K27me3,12
Homo sapiens,Histone ChIP-seq,cell line,"Roderic Guigo, CRG",BLaER1,H3K36me3,12
Homo sapiens,Histone ChIP-seq,cell line,"Roderic Guigo, CRG",BLaER1,H4K20me1,12
Homo sapiens,Histone ChIP-seq,cell line,"Roderic Guigo, CRG",BLaER1,H3K4me2,12
Homo sapiens,Histone ChIP-seq,cell line,"Roderic Guigo, CRG",BLaER1,H3K4me1,12
Homo sapiens,Histone ChIP-seq,cell line,"Roderic Guigo, CRG",BLaER1,H3K9me3,12
Homo sapiens,Control ChIP-seq,cell line,"Roderic Guigo, CRG",BLaER1,none,12
Homo sapiens,Control Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","naive thymus-derived CD8-positive, alpha-beta T cell",none,12
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","naive thymus-derived CD4-positive, alpha-beta T cell",H3K27me3,12
Homo sapiens,TF ChIP-seq,cell line,"Roderic Guigo, CRG",BLaER1,Cebpa,12
